,Date,SOURCEURL,AvgTone,N_label,Label
0,2014-07-20,http://adage.com/article/ad-age-outlook/trivago-tim-williams/299534/,1.26050420168067,1.0,Data_Security
1,2015-02-03,http://www.golocalprov.com/news/trivago.com-names-newport-a-top-20-city-to-stay-for-2015,3.3715106698815,3.0,Business_Model_Resilience
2,2015-02-15,http://www.dailyliberal.com.au/story/2884145/our-view-orange-and-bathurst-make-trivago-list-while-dubbo-snubbed/,3.65540858121265,4.0,Competitive_Behavior
3,2015-02-18,http://www.boston.com/travel/blog/2015/02/newport_ranked_high_in_trivago_ratings.html,0.2471376440831799,3.0,Business_Model_Resilience
5,2015-03-18,http://www.huffingtonpost.co.uk/trivagocouk/uk-tours-travel_b_6887478.html,2.20183486238532,22.0,Customer_Privacy
6,2015-04-13,http://www.elle.com/culture/movies-tv/q-and-a/a27797/trivago-man-interview/,0.27137042062415,8.0,Employee_Engagement_Inclusion_And_Diversity
7,2015-04-19,http://www.naftemporiki.gr/story/1095383/trivago-rome-corfu-again-top-greek-tourists-choices-for-orthodox-easter-holidays,1.48148148148148,22.0,Customer_Privacy
9,2015-06-13,http://www.huffingtonpost.com/trivago/apple-vs-android-does-the_b_7575912.html,3.2171581769437,4.0,Competitive_Behavior
10,2015-06-15,http://www.traveltrends.biz/ttn555-sydney-burdick-head-of-global-affairs-trivago/,3.95635494062624,8.0,Employee_Engagement_Inclusion_And_Diversity
11,2015-06-25,http://www.huffingtonpost.co.uk/trivagocouk/mediterranean-islands_b_7660776.html,3.9580908032596,22.0,Customer_Privacy
12,2015-07-14,http://www.mediapost.com/publications/article/253822/amazon-remains-best-perceived-trivago-is-one-to-w.html,1.81086519114688,4.0,Competitive_Behavior
13,2015-07-16,http://www.huffingtonpost.ca/trivagoca/french-landscapes_b_7807910.html,2.92792792792792,8.0,Employee_Engagement_Inclusion_And_Diversity
14,2015-08-06,http://www.tnooz.com/article/not-happy-campers-agoda-pulls-all-inventory-from-trivago/,0.85763293310463,4.0,Competitive_Behavior
15,2015-08-07,http://www.traveltrends.biz/ttn555-agoda-pulls-product-from-trivago/,0.0,4.0,Competitive_Behavior
16,2015-09-07,http://www.huffingtonpost.com/trivago/spains-swankiest-seaside_b_8075598.html,6.601941747572809,3.0,Business_Model_Resilience
17,2015-09-28,http://www.huffingtonpost.co.uk/trivagocouk/ten-brilliant-european-brewery-tours_b_8207178.html,4.58640458640459,22.0,Customer_Privacy
18,2015-10-03,http://www.irishmirror.ie/lifestyle/travel/top-travel-destinations-trivago-reveals-6539933,4.80225988700564,18.0,Systemic_Risk_Management
